,width,depth,slope,discharge,bankfull,source,site_id
1607,24.689100219458695,0.694944,0.006,29.73285,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1608,27.0,0.88,0.0032,33.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1609,27.0,1.6,0.00069,66.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1610,15.8,0.45,0.011,7.9,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1611,13.4,0.63,0.0109,8.04,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1613,738.0,11.18,7e-05,16696.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1616,242.0,4.6,0.00056,2661.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1617,9.1,0.78,0.00848,17.6,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1619,14.6,0.67,0.0007,7.47,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1620,7.315288953913679,0.2682239999999999,0.03,0.877827,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1621,10.0585223116313,0.499872,0.013,5.38023,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1622,152.0,1.01,0.0042,510.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1623,17.983418678371102,0.201168,0.003,1.104363,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1624,38.4,0.33,0.00081,2.89,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1626,6.5,0.68,0.0019399999999999,3.9,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1628,238.0,2.32,0.00032,416.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1629,22.250670568154103,1.420368,0.023,41.05965,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1630,34.0,1.21,0.00079,42.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1631,37.0,1.12,0.00059,46.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1632,25.0,1.09,0.001,37.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1633,26.213118751524,0.4145279999999999,0.006,9.486195,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1634,10.0,0.37,0.0152,5.5,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1635,16.0,0.98,0.0036,20.2,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1637,9.1441111923921,0.435864,0.033,7.957077000000001,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1639,42.0,1.58,0.00079,96.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1640,55.0,0.73,0.00392,54.9,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1643,32.0,2.51,0.001,187.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1646,5.5,0.24,0.00725,0.34,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1647,11.0,0.39,0.00865,4.59,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1648,15.8497927334796,0.826008,0.019,21.662505,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1653,50.0,1.5,0.0018,156.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1655,289.0,3.16,0.0004,1402.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1656,108.0,2.04,0.00427,611.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1658,14.6,0.39,0.0007,3.44,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1660,24.993903925871702,0.222504,0.003,2.350311,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1665,64.0,1.24,0.0016,110.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1666,66.0,0.64,0.0063,69.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1667,88.0,2.74,0.0005,296.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1668,37.0,0.42,0.0042,14.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1669,96.0,0.97,0.00035,59.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
